username,tag,time,tweet,comment,like,retweet
Elon Musk,@elonmusk,2021-07-10T05:47:13.000Z,Fellowship of the RaptorsFellowship of the Raptors,4.4K,55.1K,4.1K
Elon Musk,@elonmusk,2021-07-10T03:11:05.000Z,Dragon returning from orbitDragon returning from orbit,3.2K,22.8K,1.9K
Elon Musk,@elonmusk,2021-07-09T21:50:01.000Z,Solar + Powerwall battery ensures that your home never loses powerSolar + Powerwall battery ensures that your home never loses power,7.2K,97.5K,7.3K
Elon Musk,@elonmusk,2021-07-09T20:50:33.000Z,Tesla Solar Roof + Powerwall in major new housing development in AustinTesla Solar Roof + Powerwall in major new housing development in Austin,2.5K,20.3K,2K
Elon Musk,@elonmusk,2021-07-09T20:39:21.000Z,"Autonomous SpaceX droneship,
A Shortfall of GravitasAutonomous SpaceX droneship,
A Shortfall of Gravitas",4.6K,105.5K,12K
Electrek.Co,@ElectrekCo,2021-07-05T22:35:43.000Z,"I just bought my very first Tesla. Here's what happened https://electrek.co/2021/07/05/i-just-bought-my-very-first-tesla-heres-what-happened/… by 
@michelle0728I just bought my very first Tesla. Here's what happened https://electrek.co/2021/07/05/i-just-bought-my-very-first-tesla-heres-what-happened/… by 
@michelle0728",1.5K,11.3K,1K
Elon Musk,@elonmusk,2021-07-08T05:51:19.000Z,I love this I love this ,7.1K,117.3K,9.4K
Elon Musk,@elonmusk,2021-07-07T18:48:11.000Z,Supersonic shock waveSupersonic shock wave,1.7K,39.2K,1.5K
Elon Musk,@elonmusk,2021-07-07T18:46:53.000Z,,1.8K,64.6K,3.4K
Elon Musk,@elonmusk,2021-07-07T16:58:11.000Z,High res landing Falcon landing videoHigh res landing Falcon landing video,9.4K,194.4K,21.6K
Elon Musk,@elonmusk,2021-07-06T22:09:32.000Z,,17K,309.8K,37K
Elon Musk,@elonmusk,2021-07-05T07:12:04.000Z,Free BritneyFree Britney,17.7K,449.4K,58K
Elon Musk,@elonmusk,2021-07-04T18:06:48.000Z,Happy 4th to all!Happy 4th to all!,3.5K,86.9K,3.5K
Elon Musk,@elonmusk,2021-07-04T17:59:19.000Z,Bless AmericaBless America,11.5K,238.2K,13.9K
Elon Musk,@elonmusk,2021-07-03T21:23:23.000Z,New SpaceX Starlink cover shows transfer orbit from Earth to MarsNew SpaceX Starlink cover shows transfer orbit from Earth to Mars,6.4K,97.2K,6.8K
Elon Musk,@elonmusk,2021-07-02T13:20:14.000Z,,16.5K,203.4K,22.5K
Elon Musk,@elonmusk,2021-07-02T13:09:28.000Z,"Congrats Tesla Team on over 200,000 car built & delivered in Q2, despite many challenges!!Congrats Tesla Team on over 200,000 car built & delivered in Q2, despite many challenges!!",7.9K,174.6K,11K
Elon Musk,@elonmusk,2021-07-02T09:03:21.000Z,,7.9K,239.4K,16.2K
Elon Musk,@elonmusk,2021-07-01T18:44:25.000Z,Super Heavy on road & 7th Tower segment addedSuper Heavy on road & 7th Tower segment added,5.6K,119.9K,9.4K
SpaceX,@SpaceX,2021-06-30T19:19:37.000Z,Watch Falcon 9 launch 88 spacecraft to orbit → http://spacex.com/launchesWatch Falcon 9 launch 88 spacecraft to orbit → http://spacex.com/launches,983,16.3K,2.5K
SpaceX,@SpaceX,2021-06-29T18:43:40.000Z,Live webcast of the Transporter-2 mission → http://spacex.com/launchesLive webcast of the Transporter-2 mission → http://spacex.com/launches,1.9K,25.5K,3.6K
SpaceX,@SpaceX,2021-06-29T14:56:49.000Z,"Falcon 9 and 88 spacecraft are vertical on pad 40 ahead of today’s launch. The 58-minute window opens at 2:56 p.m. EDT, and the webcast will go live about 15 minutes before liftoff → http://spacex.com/launchesFalcon 9 and 88 spacecraft are vertical on pad 40 ahead of today’s launch. The 58-minute window opens at 2:56 p.m. EDT, and the webcast will go live about 15 minutes before liftoff → http://spacex.com/launches",1.6K,25.9K,2.8K
Elon Musk,@elonmusk,2021-06-28T20:25:03.000Z,Thanks for all the happy birthday wishes!Thanks for all the happy birthday wishes!,36.7K,380.4K,19K
Elon Musk,@elonmusk,2021-06-27T14:11:23.000Z,,14.4K,315.6K,27.1K
Elon Musk,@elonmusk,2021-06-25T22:58:58.000Z,"All 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 monthsAll 72 orbital planes activate in August, plus many other improvements, enabling global coverage, except for polar regions, which will take another 6 months",3.2K,62K,3.6K
Elon Musk,@elonmusk,2021-06-25T22:51:28.000Z,"Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!Starlink simultaneously active users just exceeded the strategically important threshold of 69,420 last night!",11.1K,170K,14K
